station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Forsinain,58.41100711,-3.873563607,115340,35640,2025-03-23 06:00:00,5.2,5.2,10,65995010,0,255
Forter,56.76674681,-3.332205729,14948,36658,2025-03-23 08:00:00,20.4,20.4,30,66077010,0,118
Fourmerkland,55.1650788,-3.412506453,115565,35816,2025-03-23 08:00:00,8,8,10,66022010,0,83
Frenich Farm,56.22694162,-4.56047225,552790,38398,2025-03-23 05:00:00,7.8,7.8,10,66256010,0,229
Gairnshiel,57.09199509,-3.165582141,115223,35540,2025-03-23 07:00:00,7.4,7.4,10,65976010,0,155
Gargunnock,56.13266077,-4.070571402,14892,36480,2025-03-23 08:00:00,9,9,10,66058010,0,216
Garls Craig,55.36599829,-3.616030256,301168,37570,2025-03-23 07:00:00,8.8,8.8,10,66073010,0,210
Garrogie Lodge,57.17006125,-4.442843871,464495,38046,2025-03-23 08:00:00,7.2,7.2,10,66218010,0,95
Gatelawbridge,55.25076797,-3.730683565,115568,35820,2025-03-23 08:00:00,5.4,5.4,10,66023010,0,72
Gella Bridge,56.77535832,-3.027929218,14916,36550,2025-03-23 08:00:00,12.8,12.8,20,66061010,0,272
Gifford Rain Gauge,55.89043578,-2.768969478,474984,38094,2025-03-23 08:00:00,4.4,4.4,5,66224010,0,176
Gilston,55.80025456,-2.883463821,15114,36968,2025-03-23 07:00:00,4.4,4.4,5,66097010,0,74
Gladhouse Reservoir,55.7784118,-3.117398754,15204,37080,2025-03-23 07:00:00,5.6,5.6,10,66112010,0,13
Glen Ample,56.35457736,-4.269993694,335745,37710,2025-03-23 08:00:00,13.2,13.2,20,66179010,0,208
Glen Nevis,56.79923208,-5.067543348,115343,35644,2025-03-23 08:00:00,3.8,3.8,5,65996010,0,275
Glen Strae,56.42522107,-5.000795867,133088,36094,2025-03-23 08:00:00,6.2,6.2,10,66052010,0,21
Glenbreck,55.48202196,-3.477754728,368490,37940,2025-03-23 08:00:00,11.6,11.6,20,66210010,0,226
Glenmavis,55.89359141,-4.013210328,327238,37640,2025-03-23 08:00:00,5.6,5.6,10,66151010,0,14
Glenmore Lodge No 2,57.16421784,-3.677609728,115225,35544,2025-03-23 08:00:00,12.8,12.8,20,65977010,0,23
Glenmuick No2,56.95161175,-3.141253355,367371,37922,2025-03-23 08:00:00,11.8,11.8,20,66207010,0,172
Glenquey,56.20739317,-3.642080305,464636,38054,2025-03-23 08:00:00,18,18,20,66220010,0,247
Gogarbank,55.92834002,-3.342742573,15196,37064,2025-03-23 08:00:00,7,7,10,66163010,0,239
Gordon Arms,55.51137227,-3.096406906,14984,36790,2025-03-23 08:00:00,7,7,10,66085010,0,28
Haddington STW,55.96050923,-2.75022457,15226,37116,2025-03-23 08:00:00,2.8,2.8,5,66115010,0,179
Halkirk,58.5154974,-3.493004244,234231,37318,2025-03-23 08:00:00,6,6,10,66127010,0,215
Harelaw,55.91651494,-3.086776845,335614,37676,2025-03-23 08:00:00,7.2,7.2,10,66159010,0,120
Harperrig,55.83652095,-3.435270947,15200,37072,2025-03-23 08:00:00,6.6,6.6,10,66110010,0,165
Hatton (Perth),56.52513594,-2.648539891,335640,37692,2025-03-23 08:00:00,7.8,7.8,10,66176010,0,125
Hatton No 2,57.42757524,-1.909678484,115227,35552,2025-03-23 08:00:00,18,18,20,65978010,0,259
Hazelwood Cottage,56.26715284,-5.494662553,115582,35824,2025-03-23 07:00:00,5.6,5.6,10,66024010,0,205
High Corrie (Gartmore),56.1262023,-4.446294544,15166,37040,2025-03-23 08:00:00,7.2,7.2,10,66104010,0,166
Hunterston Terminal,55.74447583,-4.86116797,469625,38062,2025-03-23 08:00:00,3.8,3.8,5,66222010,0,29
Hydro Gardens Moffat,55.34214596,-3.452988353,115584,35828,2025-03-23 08:00:00,10.8,10.8,20,66025010,0,193
Inchvuilt,57.40830735,-4.957620811,115354,35660,2025-03-23 08:00:00,0.6,0.6,1,65998010,0,67
Ingleston Farm,54.81170556,-4.166358356,115585,35832,2025-03-23 07:00:00,7.4,7.4,10,66026010,0,103
Inshes,57.45203372,-4.184715941,336367,37750,2025-03-23 08:00:00,5.8,5.8,10,67292010,0,68
Inverewe Garden,57.77399694,-5.596995718,115356,35664,2025-03-23 08:00:00,8.4,8.4,10,65999010,0,5
Inverey,56.98569953,-3.500915775,115230,35560,2025-03-23 08:00:00,5.2,5.2,10,65979010,0,174
Invermark,56.91121364,-2.914811966,14926,36590,2025-03-23 08:00:00,11.4,11.4,20,66075010,0,90
Inveruglas,56.2473573,-4.71287133,115588,35836,2025-03-20 18:00:00,0,0,0,66027010,1,182
Inverurie,57.2583172,-2.362253256,367365,37918,2025-03-22 10:00:00,3.8,3.8,5,66206010,0,80
Irvine Gailes,55.58754361,-4.663320263,115589,35840,2025-03-23 08:00:00,5,5,5,66028010,0,58
Jedburgh Castle,55.47029248,-2.557045815,541725,38386,2025-03-23 08:00:00,5.8,5.8,10,66255010,0,137
Keith,57.55084994,-2.952079018,367360,37910,2025-03-23 08:00:00,5.6,5.6,10,66204010,0,202
Killermont Raingauge,55.91108458,-4.305014408,341380,37818,2025-03-23 07:00:00,8,8,10,66193010,0,105
Killilan,57.31881832,-5.424835603,234252,37368,2025-03-23 08:00:00,5,5,5,66072010,0,254
Killin,56.45816211,-4.331876561,14933,36616,2025-03-23 08:00:00,10.8,10.8,20,66076010,0,45
